NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT04585555,Physiologic Signals and Signatures With the Accuryn Monitoring System (The Accuryn Registry),,Recruiting,No Results Available,Acute Kidney Injury|Abdominal Compartment Syndrome|Intraabdominal Hypertension|Cardiovascular Surgery,Device: Accuryn Monitoring System,Urine Output (UO)|Intra-Abdominal Pressure (IAP)|Temperature (T)|Intraabdominal Hypertension (IAH)|Abdominal Compartment Syndrome (ACS)|Acute Kidney Injury (AKI),Potrero Medical,All,"18 Years and older   (Adult, Older Adult)",,1000,Industry,Observational,Observational Model: Case-Only|Time Perspective: Prospective,CRD-06-2963,29-Mar-19,31-Dec-24,31-Dec-24,14-Oct-20,,11-Dec-20,"Emory University Hospital, Atlanta, Georgia, United States",,https://ClinicalTrials.gov/show/NCT04585555
NCT03375918,COmmuNity-engaged SimULation Training for Blood Pressure Control,CONSULT-BP,Recruiting,No Results Available,Hypertension,Other: CONSULT-BP Educational Intervention,Blood pressure|Quality of Communication|Patient Reported Trust in Heathcare Provider|Voils Medication Adherence Scale|Blood Pressure Self Care Scale,"University of Massachusetts, Worcester|National Institute on Minority Health and Health Disparities (NIMHD)",All,"Child, Adult, Older Adult",Not Applicable,205,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Health Services Research,H00012160|1R01MD011532,13-Aug-18,31-Jan-22,31-Jan-22,18-Dec-17,,11-Dec-20,"Barre Family Health Center, Barre, Massachusetts, United States|Tri River Family Health Center, Uxbridge, Massachusetts, United States|Edward M Kennedy Community Health Center, Worcester, Massachusetts, United States|UMass Memorial Hahnemann Family Health Center, Worcester, Massachusetts, United States|UMass Memorial Medical Center -- Benedict Building, Worcester, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT03375918
NCT02587325,"ABI-009, an mTOR Inhibitor, for Patients With Severe Pulmonary Arterial Hypertension",,Recruiting,No Results Available,Pulmonary Hypertension,"Drug: ABI-009, nab-rapamycin, albumin-bound rapamycin",Number of participants with treatment-related adverse events as assessed by CTCAE v4.0,"Aadi, LLC",All,"18 Years and older   (Adult, Older Adult)",Phase 1,25,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PAH-001,1-Apr-17,Dec-20,Dec-20,27-Oct-15,,10-Dec-19,"University of Arizona, Tucson, Arizona, United States|Harbor-UCLA Medical Center, Torrance, California, United States|Indiana University, Indianapolis, Indiana, United States|National Institutes of Health, Bethesda, Maryland, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|Inova Fairfax Hospital, Falls Church, Virginia, United States",,https://ClinicalTrials.gov/show/NCT02587325
NCT04633551,Vascular Inflammation and Anti-inflammatory Supplements After Adverse Pregnancy Outcomes,VIA,Recruiting,No Results Available,Pre-Eclampsia|Pre-Term|Intrauterine Growth Restriction|Hypertension in Pregnancy,Dietary Supplement: Anti-inflammatory supplement,Blood pressure (mmHg)|Arterial stiffness (m/s)|Augmentation index (%)|Endothelial function (reactive hyperemia)|Inflammatory vascular biomarkers (pg/dL)|Acceptability of intervention (Likert scales from 1-5; not likely at all to extremely likely and free text fields)|Perception of intervention (15-20 minute interview),University of South Carolina,Female,18 Years to 45 Years   (Adult),Not Applicable,56,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,10010335,1-Oct-20,30-Jun-21,30-Jun-21,18-Nov-20,,18-Nov-20,"Public Health Research Center, Columbia, South Carolina, United States",,https://ClinicalTrials.gov/show/NCT04633551
NCT03874754,Tailored Home-Based Exercise Program for Multiple Chronic Conditions,iHBE,Recruiting,No Results Available,Cancer|Hypertension|Diabetes,Other: Tailored Technology-Enhance Home-based exercise program (iHBE),Change in Fatigue as assessed by self-reported fatigue questionnaire|Change in Resilience as assessed by Connor-Davidson Resilience scale|Change in Physical well being|Change in Mental well being|Physical activity|Change in Brain Derived Neurotrophic Factor level (in serum)|Change in Brain Derived Neurotrophic Factor level (in sweat),Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins|National Institute of Nursing Research (NINR),All,"21 Years and older   (Adult, Older Adult)",Not Applicable,58,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care,J1886|P30NR018093-01|IRB00175781,1-Aug-19,30-Sep-21,31-Mar-22,14-Mar-19,,7-Dec-20,"The Sidney Kimmel Comprehensive Cancer Center, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT03874754
NCT03691701,Pilot to Examine Risk and Feasibility of Remote Management of BP From Childhood Into Early Adulthood,PERFORMANCE2,Recruiting,No Results Available,Chronic Kidney Diseases|Hypertension|Blood Pressure,Other: strict blood pressure control,Achieved Blood Pressure|Number of participants screened who enroll in trial,"University of California, San Francisco",All,"13 Years to 30 Years   (Child, Adult)",Not Applicable,60,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,17-22758,20-Jul-18,Dec-20,Dec-20,2-Oct-18,,27-Aug-20,"University of California, San Francisco, San Francisco, California, United States",,https://ClinicalTrials.gov/show/NCT03691701
NCT04467879,A Pivotal Study To Evaluate The Effectiveness of Isometric Handgrip Therapy In Prehypertensive And Hypertensive Patients,,Recruiting,No Results Available,"Hypertension, Systolic",Device: Zona Plus|Device: Control Device,Change from Baseline in Systolic Blood Pressure to Day 70 ± 2 Days|Change from Baseline in Diastolic Blood Pressure to Day 70 ± 2 Days|Percentage change from Baseline in Systolic Blood Pressure reduction at Day 70 ± 2 Days|Percentage change from Baseline in Diastolic Blood Pressure reduction at Day 70 ± 2 Days|Percentage change from Baseline in Systolic Blood Pressure reduction at Day 160 ± 4 Days|Percentage change in Diastolic Blood Pressure reduction at Day 160 ± 4 Days|Comparison of Heart Rate between Zona Plus nominal device and Placebo controlled device,"Zona Health, Inc",All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,230,Industry,Interventional,"Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",1,30-Jun-20,Sep-21,Oct-21,13-Jul-20,,14-Jul-20,"Crystal Biomedical Researc, LLC, Miami Lakes, Florida, United States|Top Endocrine Focused Research Corp, Miami Lakes, Florida, United States|Suncoast Research Group, Miami, Florida, United States|Healthy Life Research, Miami, Florida, United States|Bio-Medical Research, LLC, Miami, Florida, United States",,https://ClinicalTrials.gov/show/NCT04467879
NCT04640519,Telehealth After Stroke Care: Integrated Multidisciplinary Access to Post-stroke Care,TASC,Recruiting,No Results Available,Stroke|Health Care Acceptability|Hypertension,Other: Usual care|Other: TASC intervention,Number of Participants with BP Control|Number of participants who completed 5 visits and satisfaction surveys|Medication adherence percentage,Columbia University|National Center for Advancing Translational Science (NCATS),All,"18 Years to 100 Years   (Adult, Older Adult)",Not Applicable,50,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Health Services Research,AAAT2612|UL1TR001873,20-Oct-20,31-May-21,1-Jul-21,23-Nov-20,,27-Nov-20,"The Neurological Institute of New York, Columbia University, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04640519
NCT04117204,Cardiorenal Protective Diet,CPD,Recruiting,No Results Available,Chronic Kidney Diseases|Cardiovascular Diseases|Hypertension,Other: Fruits and Vegetables,Changes from baseline in fruit and vegetable intake at 6 weeks and 3 months.|Changes from baseline in systolic and diastolic blood pressure at 6 weeks and 3 months.|Change from baseline of urine albumin-to-creatinine ration (ACR) at 6 weeks and 3 months.|Metabolomics will be used to profile how changes in diet effects disease risk.,Baylor Research Institute,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,160,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,018-095,1-Jun-19,May-20,Dec-20,7-Oct-19,,7-Oct-19,"Baylor Scott & White Health and Wellness Center, Dallas, Texas, United States",,https://ClinicalTrials.gov/show/NCT04117204
NCT03686657,Evaluation of Superiority of Valsartan+Celecoxib+Metformin Over Metformin Alone in Type 2 Diabetes Patients,RESILIENCE,Not yet recruiting,No Results Available,Type 2 Diabetes|High Blood Pressure|Arthritis|Obesity,"Drug: Metformin|Drug: Val, Cel and Met XR Low|Drug: Val, Cel and Met XR High",Change in glycosylated Hemoglobin (HbA1c) for metformin background patients|Change in glycosylated Hemoglobin (HbA1c) for treatment naive patients|Change from baseline in acute insulin response to glucose (AIRg) for metformin background patients|Change from baseline in acute insulin response to glucose (AIRg) for treatment naive patients|Change in glycosylated Hemoglobin (HbA1c) to <7.0%|Change from baseline in Body weight|Change from baseline in fasting plasma glucose|Change from baseline in Beta-cell function Index|Change from baseline in insulin sensitivity index (ISI or Si)|Change from baseline in glycosylated albumin (GA): glycosylated Hemoglobin A1c (HbA1c) ratio|Change from baseline in HOMA2-b%|Change from baseline in HOMA-IR|Leptin/Adiponectin ratio|Change from baseline in Atherogenic Index (AI)|Change from baseline in glycosylated albumin (GA)|Change from baseline in Leptin|Change from baseline in Adiponectin,ARKAY Therapeutics|Albany Medical College,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 1|Phase 2,115,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",RK-01 Prototype,11-Oct-21,26-Nov-23,31-Jan-24,27-Sep-18,,29-Dec-20,"Albany Medical College, Albany, New York, United States",,https://ClinicalTrials.gov/show/NCT03686657
NCT02975505,Pilot to Examine Risk and Feasibility of Remote Management of BP From CKD Through ESRD,PERFORMANCE,Recruiting,No Results Available,Chronic Kidney Disease|Bloodpressure|Hypertension,Other: Strict blood pressure control,Hyperkalemia|Achieved Blood Pressure|Falls and syncope by self-report or based on emergency room visits|End-stage Renal Disease|Number of participants screened who enroll in trial,"University of California, San Francisco",All,"16 Years and older   (Child, Adult, Older Adult)",Not Applicable,200,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,16-20978,10-Feb-17,Jul-26,Jul-26,29-Nov-16,,27-Aug-20,"University of California, San Francisco, San Francisco, California, United States",,https://ClinicalTrials.gov/show/NCT02975505
NCT04518943,Multiphase Optimization Trial of Incentives for Veterans to Encourage Walking,,Not yet recruiting,No Results Available,Sedentary Behavior|Exercise|Walking|Motivation|Hypertension|Depression|Body Mass Index,Behavioral: Walking,Change in average steps per day from baseline week to week 12|Self-efficacy|Intrinsic/extrinsic motivation|Mental health,VA Office of Research and Development,All,"50 Years to 69 Years   (Adult, Older Adult)",Not Applicable,200,U.S. Fed,Interventional,Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Single (Investigator)|Primary Purpose: Health Services Research,IIR 19-450,1-Feb-21,31-Mar-22,31-Oct-22,19-Aug-20,,25-Aug-20,"VA Puget Sound Health Care System Seattle Division, Seattle, WA, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT04518943
NCT01280994,Hyperpolarized 129Xe MRI for Imaging Pulmonary Function,,Recruiting,No Results Available,Interstitial Lung Disease|Cystic Fibrosis|Pulmonary Hypertension|NSIP,Drug: Xenon,Number of Participants with Adverse Events as a Measure of Safety and Tolerability,Bastiaan Driehuys|Duke University,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1,445,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,Pro00025110,Jan-11,Dec-22,Dec-22,21-Jan-11,,15-Jul-20,"Duke University Medical Center, Durham, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT01280994
NCT02977884,Complete Health Improvement Program (CHIP) Risk Reduction/Claims Evaluation Project,,Recruiting,No Results Available,Cardiovascular Diseases|Diabetes Mellitus|Hypertension|Dyslipidemias|Overweight and Obesity,Behavioral: The Complete Health Improvement Program,Healthcare expenses|Weight|Fasting Glucose|Fasting Lipid Profile|Absenteeism: Sick days on record at Ohio University Human Resources,Ohio University|Touro University,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,200,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,12X81,Aug-12,Nov-20,Dec-20,30-Nov-16,,15-Nov-19,"Ohio University, Athens, Ohio, United States",,https://ClinicalTrials.gov/show/NCT02977884
NCT03152773,Heart Catheterization Using Magnetic Resonance Imaging (MRI) Fluoroscopy and Passive Guidewires,,Recruiting,No Results Available,Pulmonary Artery Hypertension|Congenital Heart Disease|Structural Heart Disease,Procedure: MRI Right and Left Heart guidewire catheterization,"The principal objective of this protocol is to test the safety and feasibility of MRI fluoroscopy catheter navigation using 0.035"" guidewires during right and left heart catheterization guided by low-SAR MRI pulse sequences|Additional objectives are to test and enhanced MRI as an adjunct to routine hemodynamic cardiac catheterization","National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)",All,"18 Years to 99 Years   (Adult, Older Adult)",Not Applicable,100,NIH,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,170095|17-H-0095,2-Aug-17,30-Dec-25,30-Dec-25,15-May-17,,14-Jan-21,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT03152773
NCT02299414,Chronic Hypertension and Pregnancy (CHAP) Project,CHAP,Recruiting,No Results Available,Hypertension,Drug: Anti-hypertensive therapy|Other: No anti-hypertensive therapy (unless BP is severe),Composite adverse perinatal outcome|Small for Gestational Age|Composite of maternal death or severe cardiovascular morbidity|Composite of severe adverse perinatal outcome|Adherence to treatment after delivery,"University of Alabama at Birmingham|Columbia University|Drexel University College of Medicine|Rutgers, The State University of New Jersey|Lehigh Valley Hospital|Saint Peters University Hospital|Christiana Care Health Services|Washington University School of Medicine|Duke University|University of Texas Southwestern Medical Center|The University of Texas Health Science Center, Houston|Stanford University|University of Pennsylvania|The University of Texas Medical Branch, Galveston|University of Utah|Intermountain Health Care, Inc.|University of California, San Francisco|Johns Hopkins University|University of Pittsburgh|Ochsner Health System|University of North Carolina, Chapel Hill|National Heart, Lung, and Blood Institute (NHLBI)|WakeMed Health and Hospitals|San Francisco General Hospital|McKay-Dee Hospital|Winthrop University Hospital|New York Hospital Queens|Latter Day Saints Hospital|Lyndon B Johnson General Hospital|Virtua Medical Group|Bayview Medical Center|Duke Regional Hospital|Utah Valley Regional Medical Center|Northwestern|Brown (WIHRI)|Baylor College of Medicine|Case Western/Metro Health|Ohio State University|University of Iowa|University of California, San Diego|Indiana University|Unity Point Health-Meriter Hospital WI|Weill Medical College of Cornell University|University of Oklahoma|Medical University of South Carolina|Beaumont Hospital|University of Colorado, Denver|University of Kansas Medical Center|Denver Health and Hospital Authority|Gundersen Health System|Aurora Health Care|Oregon Health and Science University|Medical College of Wisconsin|Temple University|New Jersey Medical School|University of South Alabama|Vanderbilt University|University of Arkansas|Miami Valley Hospital|Emory University|St. Luke's Hospital and Health Network, Pennsylvania|Cleveland Clinic Fairview Hospital|University of Tennessee Health Science Center|TriHealth Inc.|Cleveland Clinic Hillcrest Hospital|Tulane University|Yale University|Arrowhead Regional Medical Center|Geisinger Clinic",Female,"12 Years and older   (Child, Adult, Older Adult)",Phase 4,2404,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1U01HL119242-01|U01HL119242-01,Jun-15,Jun-21,Jun-22,24-Nov-14,,18-Jun-20,"University of Alabama at Birmingham, Clinical Coordinating Center, Birmingham, Alabama, United States|University of Alabama at Birmingham, Data Coordinating Center, Birmingham, Alabama, United States|University of South Alabama, Mobile, Alabama, United States|University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States|Arrowhead Regional Medical Center, Colton, California, United States|University of California, San Diego, San Diego, California, United States|General Hospital of San Francisco, San Francisco, California, United States|University of California San Francisco, San Francisco, California, United States|Stanford University, Stanford, California, United States|University of Colorado, Boulder, Colorado, United States|Denver Health, Denver, Colorado, United States|Yale University, New Haven, Connecticut, United States|Christiana Care Health Services, Newark, Delaware, United States|University of South Florida, Tampa, Florida, United States|Emory University, Atlanta, Georgia, United States|Northwestern, Evanston, Illinois, United States|Indiana University, Bloomington, Indiana, United States|University of Iowa, Iowa City, Iowa, United States|University of Kansas Medical Center, Lawrence, Kansas, United States|University of Kentucky, Lexington, Kentucky, United States|Tulane, New Orleans, Louisiana, United States|Ochsner Health System/Medical Center, New Orleans, Louisiana, United States|Bayview Medical Center, Baltimore, Maryland, United States|Johns Hopkins University, Baltimore, Maryland, United States|Beaumont Hospital, Royal Oak, Michigan, United States|University of Mississippi Medical College, Jackson, Mississippi, United States|Washington University, Saint Louis, Missouri, United States|Robert Wood Johnson Medical School, New Brunswick, New Jersey, United States|St. Peters University Hospital, New Brunswick, New Jersey, United States|New Jersey Medical School, Newark, New Jersey, United States|Virtua Medical Group, Sewell, New Jersey, United States|New York Presbyterian Queens, Flushing, New York, United States|Winthrop University Hospital, Mineola, New York, United States|Columbia University, New York, New York, United States|Weill Cornell, New York, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|Duke Regional Medical Center, Durham, North Carolina, United States|Duke University, Durham, North Carolina, United States|WakeMed, Raleigh, North Carolina, United States|TriHealth, Inc, Cincinnati, Ohio, United States|Case Western/Metro Health, Cleveland, Ohio, United States|Cleveland Clinic Fairview, Cleveland, Ohio, United States|Ohio State University, Columbus, Ohio, United States|Miami Valley Hospital, Dayton, Ohio, United States|Cleveland Clinic-Hillcrest Hospital, Mayfield Heights, Ohio, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States|Oregon Health & Science University, Portland, Oregon, United States|Lehigh Valley Hospital/Health Network, Allentown, Pennsylvania, United States|St. Luke's University Health Network, Bethlehem, Pennsylvania, United States|Geisinger Clinic, Danville, Pennsylvania, United States|Drexel University College of Medicine, Philadelphia, Pennsylvania, United States|Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Pennsylvania Hospital, Philadelphia, Pennsylvania, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Temple University, Philadelphia, Pennsylvania, United States|University of Pittsburg/Magee Women's Center, Pittsburgh, Pennsylvania, United States|Brown (WIHRI), Providence, Rhode Island, United States|Medical University of South Carolina, Charleston, South Carolina, United States|University of Tennessee Health Science Center, Memphis, Tennessee, United States|Vanderbilt University, Nashville, Tennessee, United States|UT Southwestern, Dallas, Texas, United States|UT Medical Branch, Galveston, Texas, United States|Lyndon B. Johnson Hospital, Houston, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|UT Houston, Houston, Texas, United States|McKay Dee Hospital, Ogden, Utah, United States|Utah Valley Regional Medical Center, Provo, Utah, United States|Intermountain Healthcare, Salt Lake City, Utah, United States|University of Utah, Salt Lake City, Utah, United States|LDS Hospital, Salt Lake City, Utah, United States|Gundersen Health System, La Crosse, Wisconsin, United States|Unity Point Health-Meriter Hospital, Madison, Wisconsin, United States|Marshfield Clinic, Marshfield, Wisconsin, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Aurora Research Institute, Milwaukee, Wisconsin, United States",,https://ClinicalTrials.gov/show/NCT02299414
NCT03934398,Be-HealthY: Behavioral Risk Factors for Poor Vascular Health in Youth,,Recruiting,No Results Available,Prehypertension|Hypertension|Overweight and Obesity|Elevated Blood Pressure|Endothelial Dysfunction|Vascular Stiffness|Sleep,Diagnostic Test: Cardiovascular Assessments|Diagnostic Test: Actigraphy|Diagnostic Test: Laboratory assessments|Diagnostic Test: Emotional/Behavioral Assessments,Arterial stiffness as assessed by Pulse wave velocity|Arterial stiffness as assessed by Ambulatory Arterial Stiffness Index (AASI)|Arterial stiffness as assessed by Augmentation Index|Endothelial function as assessed by Laser Doppler flow perfusion|Mean Blood pressure (mmHg)|Pediatric Adverse Childhood Events (ACEs) score|Children's Emotion Management Scale (CEMS) score|Behavior Assessment for Children (BASC) score,"Johns Hopkins University|National Heart, Lung, and Blood Institute (NHLBI)",All,"up to 22 Years   (Child, Adult)",,60,Other|NIH,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,IRB00196923|1R56HL139620,10-Apr-19,Mar-21,Mar-21,1-May-19,,12-Oct-20,"Johns Hopkins School of Medicine Division of Pediatric Nephrology, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT03934398
NCT03229499,Pulmonary Hypertension and Anastrozole Trial,PHANTOM,Recruiting,No Results Available,Pulmonary Arterial Hypertension,Drug: Anastrozole|Drug: Placebo Oral Tablet,Difference in changes in distance walked in six minutes between anastrozole and placebo groups|Difference in right ventricular function between anastrozole and placebo groups|Difference in changes in plasma NT-proBNP level between anastrozole and placebo groups|Difference in changes in biomarkers between anastrozole and placebo groups|Difference in changes in SF36 between anastrozole and placebo groups|Difference in changes in emPHasis-10 between anastrozole and placebo groups|Difference in changes in actigraphy-measured physical activity between anastrozole and placebo groups|Difference in time-to-clinical worsening (TTCW) between anastrozole and placebo groups|Difference in changes in bone mineral density between anastrozole and placebo groups|Difference in side effects between anastrozole and placebo groups at twelve months,"University of Pennsylvania|National Heart, Lung, and Blood Institute (NHLBI)|Johns Hopkins University|University of Colorado, Denver|Rhode Island Hospital|Stanford University|Vanderbilt University|Washington University School of Medicine",All,"18 Years and older   (Adult, Older Adult)",Phase 2,84,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",827486|R01HL134905,7-Dec-17,Sep-21,Sep-21,25-Jul-17,,3-Aug-20,"Stanford University, Stanford, California, United States|University of Colorado - Denver, Aurora, Colorado, United States|Johns Hopkins University, Baltimore, Maryland, United States|Washington University, Saint Louis, Missouri, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Rhode Island Hospital, East Providence, Rhode Island, United States|Vanderbilt University, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT03229499
NCT03497689,EXPEDITE: A Study of Remodulin Induction Followed by Orenitram Optimization to Treat Pulmonary Arterial Hypertension,,Recruiting,No Results Available,Pulmonary Arterial Hypertension,Drug: Intravenous/Subcutaneous Treprostinil; Oral Treprostinil,Oral treprostinil dose|Prostanoid Adverse Events (AEs)|Echocardiograms|Change in 6-minute walk distance (6MWD)|Change in Borg dyspnea score|Change in World Health Organization (WHO) functional class (FC)|Change in serum N-terminal pro-brain natriuretic peptide (NT-proBNP) levels|Impact of pulmonary hypertension on a person's life (health-related quality of life)|Treatment satisfaction,United Therapeutics,All,"17 Years to 85 Years   (Child, Adult, Older Adult)",Phase 4,30,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TDE-PH-402,21-Sep-18,Dec-20,Dec-20,13-Apr-18,,31-Jul-20,"University of California San Francisco - Fresno, Fresno, California, United States|Harbor-UCLA Medical Center, Torrance, California, United States|Florida Hospital, Orlando, Florida, United States|Piedmont Healthcare Pulmonary and Critical Care Research, Austell, Georgia, United States|St. Vincent Medical Group, Indianapolis, Indiana, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|University of Cincinnati Health, Cincinnati, Ohio, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Integris Baptist Medical Center, Oklahoma City, Oklahoma, United States|UPMC Presbytarian Hospital, Pittsburgh, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT03497689
NCT03926793,Clinical Study of Inhaled GB002 for Treatment of WHO Group I Pulmonary Arterial Hypertension,PAH,Recruiting,No Results Available,Pulmonary Arterial Hypertension,Drug: GB002|Drug: Placebo|Device: Generic Dry Powder Inhaler,Number of participants with Treatment-Related Adverse Events GB002 (Main study)|Number of participants with Treatment-Related Adverse Events GB002 (OLE study)|Pharmacokinetics: Time to Reach Maximum Concentration (Tmax) of GB002 (Main study)|Pharmacokinetics: Maximum Concentration (Cmax) of GB002 (Main study)|Pharmacokinetics: Area Under the Concentration Curve (AUC) of GB002 (Main study)|Changes from baseline in 6-Minute Walk Test (6MWT) (OLE study)|Changes from baseline in WHO Functional Class (OLE study)|Changes from baseline in N-terminal pro B-type natriuretic peptide (NT-proBNP) (OLE study)|Changes from baseline in Pulmonary Arterial Hypertension - Symptoms and Impact (PAH-SYMPACT) Quality of Life questionnaire (OLE study)|Changes from baseline in Right Ventricular function by imaging (OLE study),"GB002, Inc., a wholly owned subsidiary of Gossamer Bio, Inc.|Gossamer Bio Inc.",All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,16,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",GB002-1101,4-Feb-20,Dec-20,Dec-20,25-Apr-19,,2-Dec-20,"UCSD Medical Center, La Jolla, California, United States|University of California Davis Medical Center, Sacramento, California, United States|University of Colorado Hospital, Aurora, Colorado, United States|Yale New Haven Hospital, New Haven, Connecticut, United States|Mayo Clinic Florida, Jacksonville, Florida, United States|Kentuckiana Pulmonary Research Center, Louisville, Kentucky, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Mayo Clinic, Rochester, Minnesota, United States|Duke Early Phase Research, Durham, North Carolina, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|University of Pittsburgh Medical Center Montefiore University Hospital, Pittsburgh, Pennsylvania, United States|VitaLink Research - Anderson, Anderson, South Carolina, United States|Golden Jubilee National Hospital, Glasgow, United Kingdom|Hammersmith Hospital, Imperial Healthcare NHS Trust, London, United Kingdom",,https://ClinicalTrials.gov/show/NCT03926793
